日付,ユーザ,種別,url,テキスト,緯度,経度,,,,,,,,,,,,,,,,,,,
2019/6/19 12:09,tom maehara,image,https://www.dropbox.com/s/t44noaiwiciujnn/image-VONlIW.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,
2019/6/19 12:09,tom maehara,location,,"堅田観光駐車場 大津市, 滋賀県 520-0242 日本",35.111611,135.916494,,,,,,,,,,,,,,,,,,,
2019/6/19 12:09,tom maehara,text,,出発,35.111611,135.916494,,,,,,,,,,,,,,,,,,,
2019/6/19 5:26,あすきー,text,,柏崎通過,,,,,,,,,,,,,,,,,,,,,
2019/6/19 5:27,あすきー,image,https://www.dropbox.com/s/da4ul856xwu6z6v/image-YE1qJT.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,
2019/6/19 5:39,あすきー,voice,https://www.dropbox.com/s/ztwyncv66zrjapw/voice-mO7Pue.mp4?dl=0,北陸自動車道に入りました,,,,,,,,,,,,,,,,,,,,,
2019/6/19 5:40,あすきー,location,,日本、〒940-2054 新潟県長岡市南新保町 北陸自動車道,37.47025533,138.8042173,,,,,,,,,,,,,,,,,,,
2019/6/19 6:00,あすきー,location,,日本、〒953-0053 新潟県新潟市西蒲区巻東町２４７,37.75788745,138.9420218,,,,,,,,,,,,,,,,,,,
2019/6/19 6:03,yoichi,location,,日本、〒190-0022 東京都立川市錦町１丁目４?１１ モナーク立川,35.696112,139.417415,,,,,,,,,,,,,,,,,,,
2019/6/19 6:04,yoichi,voice,https://www.dropbox.com/s/ck8vbrv6cwggmqc/voice-5SLmn3.mp4?dl=0,音声登録のテストです,35.696112,139.417415,,,,,,,,,,,,,,,,,,,
2019/6/19 6:23,yoichi,voice,https://www.dropbox.com/s/7em7x0qpd0gls68/voice-bgeskx.mp4?dl=0,音声登録テストで,35.696112,139.417415,,,,,,,,,,,,,,,,,,,
2019/6/19 6:27,yoichi,voice,https://www.dropbox.com/s/0z3d1l2jiabw090/voice-fHbUms.mp4?dl=0,サンプルテストです,35.696112,139.417415,,,,,,,,,,,,,,,,,,,
2019/6/19 6:42,あすきー,location,,日本、〒959-2602 新潟県胎内市乙 日本海東北自動車道,38.11678925,139.4109469,,,,,,,,,,,,,,,,,,,
2019/6/19 6:42,あすきー,text,,荒川胎内から先通行止め,38.11678925,139.4109469,,,,,,,,,,,,,,,,,,,
2019/6/19 6:42,あすきー,image,https://www.dropbox.com/s/0nzm5kj3z25q8ii/image-CtK7Eo.jpg?dl=0,,38.11678925,139.4109469,,,,,,,,,,,,,,,,,,,
2019/6/19 6:47,あすきー,location,,日本、〒959-3124 新潟県村上市金屋３１９１,38.14192803,139.4271659,,,,,,,,,,,,,,,,,,,
2019/6/19 6:48,あすきー,voice,https://www.dropbox.com/s/lmu4vxtue40rh8q/voice-QqI8Fg.mp4?dl=0,地元住民らしきおばあちゃんが朝の散歩をしているくらい穏やかです,38.14192803,139.4271659,,,,,,,,,,,,,,,,,,,
2019/6/19 6:48,あすきー,text,,地元住民らしきおばあちゃんが朝の散歩をしているくらい穏やかです,38.14192803,139.4271659,,,,,,,,,,,,,,,,,,,
2019/6/19 6:53,あすきー,location,,日本、〒959-3428 新潟県村上市松喜和１３８９,38.17745295,139.443448,,,,,,,,,,,,,,,,,,,
2019/6/19 6:54,あすきー,text,,消防神林分署、消防車救急車の出動なし,,,,,,,,,,,,,,,,,,,,,
2019/6/19 6:59,あすきー,location,,日本、〒958-0000 新潟県村上市岩船 国道345号,38.20680469,139.4496681,,,,,,,,,,,,,,,,,,,
2019/6/19 6:59,あすきー,text,,"公共施設っぽいものがありましたが、人影なし
雨が降ってきました
車の往来が多いが、通勤か？",38.20680469,139.4496681,,,,,,,,,,,,,,,,,,,
2019/6/19 7:00,あすきー,image,https://www.dropbox.com/s/ad7d85b862v28sj/image-HNM5mv.jpg?dl=0,,38.20680469,139.4496681,,,,,,,,,,,,,,,,,,,
2019/6/19 7:13,あすきー,location,,日本、〒958-0264 新潟県村上市鵜渡路２８７０,38.26404476,139.5034243,,,,,,,,,,,,,,,,,,,
2019/6/19 7:33,tom maehara,location,,"道の駅 朝日 まほろば 猿沢1212 (国道7号) 村上市, 新潟県 958-0261 日本",38.282785,139.522618,,,,,,,,,,,,,,,,,,,
2019/6/19 7:34,tom maehara,image,https://www.dropbox.com/s/t09qh19fpmx7wl4/image-YOWNXc.jpg?dl=0,,38.282785,139.522618,,,,,,,,,,,,,,,,,,,
2019/6/19 7:42,あすきー,location,,日本、〒958-0213 新潟県村上市早稲田７２?１,38.31134611,139.5466456,,,,,,,,,,,,,,,,,,,
2019/6/19 7:42,あすきー,image,https://www.dropbox.com/s/4y3nxg9qdnsi4gc/image-lQTcbr.jpg?dl=0,,38.31134611,139.5466456,,,,,,,,,,,,,,,,,,,
2019/6/19 7:42,あすきー,image,https://www.dropbox.com/s/3ws27al8b9apzb9/image-7GMJQs.jpg?dl=0,,38.31134611,139.5466456,,,,,,,,,,,,,,,,,,,
2019/6/19 7:42,あすきー,image,https://www.dropbox.com/s/h98k78s9fkyfkgh/image-FbXaog.jpg?dl=0,,38.31134611,139.5466456,,,,,,,,,,,,,,,,,,,
2019/6/19 7:47,あすきー,location,,日本、〒958-0202 新潟県村上市大須戸９７８?３,38.35289105,139.550335,,,,,,,,,,,,,,,,,,,
2019/6/19 7:47,あすきー,text,,雨脚強まる,38.35289105,139.550335,,,,,,,,,,,,,,,,,,,
2019/6/19 7:48,あすきー,text,,一時間に22ミリ予報,38.35289105,139.550335,,,,,,,,,,,,,,,,,,,
2019/6/19 7:48,tom maehara,location,,"ペガサス24H 大須戸1510 村上市, 新潟県 958-0202 日本",38.36127,139.55232,,,,,,,,,,,,,,,,,,,
2019/6/19 7:48,tom maehara,image,https://www.dropbox.com/s/8xjrazxwnmnu43l/image-Q731Rn.jpg?dl=0,,38.36127,139.55232,,,,,,,,,,,,,,,,,,,
2019/6/19 7:48,tom maehara,voice,https://www.dropbox.com/s/9uuizl58vomrunm/voice-L2K6tE.mp4?dl=0,激しい雨,38.36127,139.55232,,,,,,,,,,,,,,,,,,,
2019/6/19 7:51,あすきー,location,,日本、〒958-0201 新潟県村上市蒲萄 蒲萄トンネル,38.38091599,139.5556789,,,,,,,,,,,,,,,,,,,
2019/6/19 7:51,あすきー,image,https://www.dropbox.com/s/gczwiocykub5han/image-Vpvo3b.jpg?dl=0,,38.38091599,139.5556789,,,,,,,,,,,,,,,,,,,
2019/6/19 7:51,あすきー,text,,事故ではないが警察？と自衛隊と住民がいた,38.38091599,139.5556789,,,,,,,,,,,,,,,,,,,
2019/6/19 7:53,あすきー,location,,日本、〒958-0201 新潟県村上市蒲萄 国道7号,38.40239725,139.557182,,,,,,,,,,,,,,,,,,,
2019/6/19 7:54,あすきー,text,,側道が車両通行止め,38.40239725,139.557182,,,,,,,,,,,,,,,,,,,
